Date : 2025-10-13 09:37:59
Directory : c:\Users\yjq\Desktop\myproject
Total : 81 files,  21549 codes, 261 comments, 800 blanks, all 22610 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend-mp\src\pages\question-edit                                                                                  |          1 |        190 |          1 |         19 |        210 |
| frontend-mp\src\pages\register                                                                                       |          1 |        197 |          0 |         28 |        225 |
| frontend-mp\src\pages\user-detail                                                                                    |          1 |        176 |          5 |         19 |        200 |
| frontend-mp\src\types                                                                                                |          1 |          6 |          1 |          0 |          7 |
| frontend-mp\src\utils                                                                                                |          1 |        262 |         19 |         37 |        318 |
| project_back                                                                                                         |         55 |      7,461 |        185 |        469 |      8,115 |
| project_back (Files)                                                                                                 |          1 |        121 |          0 |         27 |        148 |
| project_back\alembic                                                                                                 |          5 |        130 |         53 |         37 |        220 |
| project_back\alembic (Files)                                                                                         |          1 |         51 |          5 |          9 |         65 |
| project_back\alembic\versions                                                                                        |          4 |         79 |         48 |         28 |        155 |
| project_back\app                                                                                                     |         44 |      1,910 |         90 |        311 |      2,311 |
| project_back\app (Files)                                                                                             |          4 |         50 |          2 |         11 |         63 |
| project_back\app\api                                                                                                 |         12 |        663 |         39 |         89 |        791 |
| project_back\app\api (Files)                                                                                         |          2 |         27 |          1 |          5 |         33 |
| project_back\app\api\v1                                                                                              |         10 |        636 |         38 |         84 |        758 |
| project_back\app\api\v1 (Files)                                                                                      |          1 |          0 |          0 |          1 |          1 |
| project_back\app\api\v1\endpoints                                                                                    |          9 |        636 |         38 |         83 |        757 |
| project_back\app\core                                                                                                |          4 |        115 |         10 |         24 |        149 |
| project_back\app\db                                                                                                  |          3 |         21 |          0 |          5 |         26 |
| project_back\app\models                                                                                              |         12 |        159 |          4 |         26 |        189 |
| project_back\app\schemas                                                                                             |          4 |        183 |          3 |         38 |        224 |
| project_back\app\services                                                                                            |          5 |        719 |         32 |        118 |        869 |
| project_back\logs                                                                                                    |          1 |      5,057 |          0 |         56 |      5,113 |
| project_back\sql                                                                                                     |          4 |        243 |         42 |         38 |        323 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                             | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\yjq\Desktop\myproject\frontend-mp\index.html                                                                | HTML               |         18 |          2 |          1 |         21 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\package-lock.json                                                         | JSON               |     11,026 |          0 |          1 |     11,027 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\package.json                                                              | JSON               |         68 |          0 |          1 |         69 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\shims-uni.d.ts                                                            | TypeScript         |          6 |          1 |          4 |         11 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\App.vue                                                               | vue                |         16 |          0 |          2 |         18 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\main.js                                                               | JavaScript         |         10 |          0 |          1 |         11 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\manifest.json                                                         | JSON               |         64 |          0 |          1 |         65 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages.json                                                            | JSON               |         76 |          0 |          1 |         77 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\error-book\error-book.vue                                       | vue                |        213 |          3 |         27 |        243 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\index\index.vue                                                 | vue                |        334 |          8 |         35 |        377 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\lobby\lobby.vue                                                 | vue                |        138 |          0 |         18 |        156 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\login\login.vue                                                 | vue                |        194 |          0 |         30 |        224 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\practice\practice.vue                                           | vue                |        299 |          6 |         23 |        328 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\profile\profile.vue                                             | vue                |        227 |          5 |         24 |        256 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\question-bank\question-bank.vue                                 | vue                |        387 |          0 |         31 |        418 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\question-detail\question-detail.vue                             | vue                |        102 |          0 |         11 |        113 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\question-edit\question-edit.vue                                 | vue                |        190 |          1 |         19 |        210 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\register\register.vue                                           | vue                |        197 |          0 |         28 |        225 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\pages\user-detail\user-detail.vue                                     | vue                |        176 |          5 |         19 |        200 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\shime-uni.d.ts                                                        | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\types\env.d.ts                                                        | TypeScript         |          6 |          1 |          0 |          7 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\uni.scss                                                              | SCSS               |         37 |         25 |         14 |         76 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\src\utils\api.ts                                                          | TypeScript         |        262 |         19 |         37 |        318 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\tsconfig.json                                                             | JSON with Comments |         18 |          0 |          0 |         18 |
| c:\Users\yjq\Desktop\myproject\frontend-mp\vite.config.js                                                            | JavaScript         |         11 |          0 |          2 |         13 |
| c:\Users\yjq\Desktop\myproject\myproject.code-workspace                                                              | JSON with Comments |          8 |          0 |          0 |          8 |
| c:\Users\yjq\Desktop\myproject\project_back\alembic.ini                                                              | Ini                |        121 |          0 |         27 |        148 |
| c:\Users\yjq\Desktop\myproject\project_back\alembic\env.py                                                           | Python             |         51 |          5 |          9 |         65 |
| c:\Users\yjq\Desktop\myproject\project_back\alembic\versions\94040048a275_add_last_login_at_to_user.py               | Python             |         28 |         14 |          7 |         49 |
| c:\Users\yjq\Desktop\myproject\project_back\alembic\versions\aeec0cd06ff3_add_auth_fields_to_user.py                 | Python             |         30 |         14 |          7 |         51 |
| c:\Users\yjq\Desktop\myproject\project_back\alembic\versions\b3d874edf9d3_set_default_for_version_no_on_question_.py | Python             |         11 |         10 |          8 |         29 |
| c:\Users\yjq\Desktop\myproject\project_back\alembic\versions\c5da4433a51d_baseline.py                                | Python             |         10 |         10 |          6 |         26 |
| c:\Users\yjq\Desktop\myproject\project_back\app\__init__.py                                                          | Python             |          0 |          0 |          1 |          1 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\__init__.py                                                      | Python             |          7 |          1 |          3 |         11 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\deps.py                                                          | Python             |         20 |          0 |          2 |         22 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\__init__.py                                                   | Python             |          0 |          0 |          1 |          1 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\__init__.py                                         | Python             |          0 |          0 |          1 |          1 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\admin.py                                            | Python             |         83 |          0 |          8 |         91 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\auth.py                                             | Python             |         35 |          6 |          7 |         48 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\error_book.py                                       | Python             |         32 |          0 |          2 |         34 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\health.py                                           | Python             |         12 |          0 |          2 |         14 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\practice.py                                         | Python             |         24 |          0 |          6 |         30 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\question_bank.py                                    | Python             |        405 |         32 |         42 |        479 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\tags.py                                             | Python             |         16 |          0 |          3 |         19 |
| c:\Users\yjq\Desktop\myproject\project_back\app\api\v1\endpoints\users.py                                            | Python             |         29 |          0 |         12 |         41 |
| c:\Users\yjq\Desktop\myproject\project_back\app\core\config.py                                                       | Python             |         31 |          1 |          7 |         39 |
| c:\Users\yjq\Desktop\myproject\project_back\app\core\error_handlers.py                                               | Python             |         49 |          7 |          7 |         63 |
| c:\Users\yjq\Desktop\myproject\project_back\app\core\exceptions.py                                                   | Python             |         20 |          1 |          6 |         27 |
| c:\Users\yjq\Desktop\myproject\project_back\app\core\security.py                                                     | Python             |         15 |          1 |          4 |         20 |
| c:\Users\yjq\Desktop\myproject\project_back\app\db\__init__.py                                                       | Python             |          0 |          0 |          1 |          1 |
| c:\Users\yjq\Desktop\myproject\project_back\app\db\base.py                                                           | Python             |          3 |          0 |          1 |          4 |
| c:\Users\yjq\Desktop\myproject\project_back\app\db\session.py                                                        | Python             |         18 |          0 |          3 |         21 |
| c:\Users\yjq\Desktop\myproject\project_back\app\main.py                                                              | Python             |         50 |          2 |          8 |         60 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\__init__.py                                                   | Python             |          2 |          0 |          0 |          2 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\error_book.py                                                 | Python             |         18 |          0 |          4 |         22 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\exam_attempt.py                                               | Python             |         16 |          0 |          1 |         17 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\paper.py                                                      | Python             |         12 |          0 |          1 |         13 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\paper_question.py                                             | Python             |          9 |          0 |          1 |         10 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\question.py                                                   | Python             |         15 |          0 |          2 |         17 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\question_version.py                                           | Python             |         16 |          2 |          3 |         21 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\role.py                                                       | Python             |         11 |          0 |          3 |         14 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\tag.py                                                        | Python             |         19 |          2 |          4 |         25 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\user.py                                                       | Python             |         15 |          0 |          4 |         19 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\user_answer.py                                                | Python             |         15 |          0 |          1 |         16 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models\user_role.py                                                  | Python             |         11 |          0 |          2 |         13 |
| c:\Users\yjq\Desktop\myproject\project_back\app\models_init_.py                                                      | Python             |          0 |          0 |          1 |          1 |
| c:\Users\yjq\Desktop\myproject\project_back\app\schemas\error_book.py                                                | Python             |         16 |          0 |          2 |         18 |
| c:\Users\yjq\Desktop\myproject\project_back\app\schemas\practice.py                                                  | Python             |         35 |          0 |          8 |         43 |
| c:\Users\yjq\Desktop\myproject\project_back\app\schemas\question_bank.py                                             | Python             |         60 |          2 |         12 |         74 |
| c:\Users\yjq\Desktop\myproject\project_back\app\schemas\user.py                                                      | Python             |         72 |          1 |         16 |         89 |
| c:\Users\yjq\Desktop\myproject\project_back\app\schemas_init_.py                                                     | Python             |          0 |          0 |          1 |          1 |
| c:\Users\yjq\Desktop\myproject\project_back\app\services\auth_service.py                                             | Python             |         21 |          0 |          6 |         27 |
| c:\Users\yjq\Desktop\myproject\project_back\app\services\error_book_service.py                                       | Python             |         35 |          1 |          5 |         41 |
| c:\Users\yjq\Desktop\myproject\project_back\app\services\practice_service.py                                         | Python             |        232 |         10 |         34 |        276 |
| c:\Users\yjq\Desktop\myproject\project_back\app\services\question_bank_service.py                                    | Python             |        202 |          7 |         25 |        234 |
| c:\Users\yjq\Desktop\myproject\project_back\app\services\user_service.py                                             | Python             |        229 |         14 |         48 |        291 |
| c:\Users\yjq\Desktop\myproject\project_back\logs\app.log                                                             | Log                |      5,057 |          0 |         56 |      5,113 |
| c:\Users\yjq\Desktop\myproject\project_back\sql\00_init.sql                                                          | MS SQL             |        190 |         24 |         19 |        233 |
| c:\Users\yjq\Desktop\myproject\project_back\sql\create_database.sql                                                  | MS SQL             |          3 |         11 |          3 |         17 |
| c:\Users\yjq\Desktop\myproject\project_back\sql\seed_practice.sql                                                    | MS SQL             |         35 |          7 |         10 |         52 |
| c:\Users\yjq\Desktop\myproject\project_back\sql\test.sql                                                             | MS SQL             |         15 |          0 |          6 |         21 |
| Total                                                                                                                |                    |     21,549 |        261 |        800 |     22,610 |
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
